,Unnamed: 0,ID,text,favoriteCount,retweetCount,createdAt,tweetPunct,tweetToken,tweetLemmas
16,16,1353368375729283073,The beginning of our new journey. https://t.co/29yGTjijRF,394536,16918,2021-01-24 15:45:39,the beginning of our new journey httpstcoygtjijrf,"['the', 'beginning', 'of', 'our', 'new', 'journey', 'httpstcoygtjijrf']","['the', 'beginning', 'of', 'our', 'new', 'journey', 'httpstcoygtjijrf']"
17,17,1353352962287034370,RT @WhiteHouse: Please wear a mask. https://t.co/aAqlmJP5RT,0,57810,2021-01-24 14:44:24,rt whitehouse please wear a mask httpstcoaaqlmjprt,"['rt', 'whitehouse', 'please', 'wear', 'a', 'mask', 'httpstcoaaqlmjprt']","['rt', 'whitehouse', 'please', 'wear', 'a', 'mask', 'httpstcoaaqlmjprt']"
18,18,1353087016007839745,"This weekend, don’t forget:
 
- Wear a mask
- Stay socially distanced
- Avoid large indoor gatherings
 
Together, we can save lives.",292162,24027,2021-01-23 21:07:38,"this weekend don’t forget
 
 wear a mask
 stay socially distanced
 avoid large indoor gatherings
 
together we can save lives","['this', 'weekend', 'don’t', 'forget', '', '', '', 'wear', 'a', 'mask', '', 'stay', 'socially', 'distanced', '', 'avoid', 'large', 'indoor', 'gatherings', '', '', 'together', 'we', 'can', 'save', 'lives']","['this', 'weekend', 'don’t', 'forget', '', '', '', 'wear', 'a', 'mask', '', 'stay', 'socially', 'distanced', '', 'avoid', 'large', 'indoor', 'gathering', '', '', 'together', 'we', 'can', 'save', 'life']"
19,19,1353066572634497032,"RT @POTUS: We will get through this, together. https://t.co/W03wlb2m8o",0,10930,2021-01-23 19:46:24,rt potus we will get through this together httpstcowwlbmo,"['rt', 'potus', 'we', 'will', 'get', 'through', 'this', 'together', 'httpstcowwlbmo']","['rt', 'potus', 'we', 'will', 'get', 'through', 'this', 'together', 'httpstcowwlbmo']"
20,0,1357103862323290117,"We can’t afford to wait to pass the American Rescue Plan, which will: 
-Get checks to Americans
-Get more vaccines… https://t.co/U3J9cDrzYk",14627,2226,2021-02-03 23:09:09,"we can’t afford to wait to pass the american rescue plan which will 
get checks to americans
get more vaccines… httpstcoujcdrzyk","['we', 'can’t', 'afford', 'to', 'wait', 'to', 'pass', 'the', 'american', 'rescue', 'plan', 'which', 'will', '', 'get', 'checks', 'to', 'americans', 'get', 'more', 'vaccines…', 'httpstcoujcdrzyk']","['we', 'can’t', 'afford', 'to', 'wait', 'to', 'pas', 'the', 'american', 'rescue', 'plan', 'which', 'will', '', 'get', 'check', 'to', 'american', 'get', 'more', 'vaccines…', 'httpstcoujcdrzyk']"
21,1,1357079540087062531,"Americans are hurting right now, and our administration has a robust nationwide strategy to help communities most h… https://t.co/zKFJtAX6Fq",36494,3763,2021-02-03 21:32:30,americans are hurting right now and our administration has a robust nationwide strategy to help communities most h… httpstcozkfjtaxfq,"['americans', 'are', 'hurting', 'right', 'now', 'and', 'our', 'administration', 'has', 'a', 'robust', 'nationwide', 'strategy', 'to', 'help', 'communities', 'most', 'h…', 'httpstcozkfjtaxfq']","['american', 'are', 'hurting', 'right', 'now', 'and', 'our', 'administration', 'ha', 'a', 'robust', 'nationwide', 'strategy', 'to', 'help', 'community', 'most', 'h…', 'httpstcozkfjtaxfq']"
22,2,1356988922048487426,"This morning, I swore in Pete Buttigieg as Secretary of Transportation. @SecretaryPete is a true problem-solver. He… https://t.co/KO0Qoik2fe",113827,8862,2021-02-03 15:32:25,this morning i swore in pete buttigieg as secretary of transportation secretarypete is a true problemsolver he… httpstcokoqoikfe,"['this', 'morning', 'i', 'swore', 'in', 'pete', 'buttigieg', 'as', 'secretary', 'of', 'transportation', 'secretarypete', 'is', 'a', 'true', 'problemsolver', 'he…', 'httpstcokoqoikfe']","['this', 'morning', 'i', 'swore', 'in', 'pete', 'buttigieg', 'a', 'secretary', 'of', 'transportation', 'secretarypete', 'is', 'a', 'true', 'problemsolver', 'he…', 'httpstcokoqoikfe']"
23,3,1356798041043394565,RT @WhiteHouse: America is a nation of immigrants and Indigenous peoples — and we are stronger because of it. https://t.co/IgTtaQ0WzS,0,3102,2021-02-03 02:53:55,rt whitehouse america is a nation of immigrants and indigenous peoples — and we are stronger because of it httpstcoigttaqwzs,"['rt', 'whitehouse', 'america', 'is', 'a', 'nation', 'of', 'immigrants', 'and', 'indigenous', 'peoples', '—', 'and', 'we', 'are', 'stronger', 'because', 'of', 'it', 'httpstcoigttaqwzs']","['rt', 'whitehouse', 'america', 'is', 'a', 'nation', 'of', 'immigrant', 'and', 'indigenous', 'people', '—', 'and', 'we', 'are', 'stronger', 'because', 'of', 'it', 'httpstcoigttaqwzs']"
24,4,1356789074846228490,"Congratulations to @AliMayorkas, our new Secretary of Homeland Security. Secretary Mayorkas is a dedicated public s… https://t.co/sVE4XdPXhw",49261,3884,2021-02-03 02:18:18,congratulations to alimayorkas our new secretary of homeland security secretary mayorkas is a dedicated public s… httpstcosvexdpxhw,"['congratulations', 'to', 'alimayorkas', 'our', 'new', 'secretary', 'of', 'homeland', 'security', 'secretary', 'mayorkas', 'is', 'a', 'dedicated', 'public', 's…', 'httpstcosvexdpxhw']","['congratulation', 'to', 'alimayorkas', 'our', 'new', 'secretary', 'of', 'homeland', 'security', 'secretary', 'mayorkas', 'is', 'a', 'dedicated', 'public', 's…', 'httpstcosvexdpxhw']"
25,5,1356648429062127616,"RT @POTUS: We will be judged for how we resolve the cascading crises of our era.
 
Will we rise to the occasion? Will we master this rare a…",0,8984,2021-02-02 16:59:25,"rt potus we will be judged for how we resolve the cascading crises of our era
 
will we rise to the occasion will we master this rare a…","['rt', 'potus', 'we', 'will', 'be', 'judged', 'for', 'how', 'we', 'resolve', 'the', 'cascading', 'crises', 'of', 'our', 'era', '', '', 'will', 'we', 'rise', 'to', 'the', 'occasion', 'will', 'we', 'master', 'this', 'rare', 'a…']","['rt', 'potus', 'we', 'will', 'be', 'judged', 'for', 'how', 'we', 'resolve', 'the', 'cascading', 'crisis', 'of', 'our', 'era', '', '', 'will', 'we', 'rise', 'to', 'the', 'occasion', 'will', 'we', 'master', 'this', 'rare', 'a…']"
26,6,1356394369021042691,"Today I spoke with Prime Minister @JustinTrudeau. We discussed our commitment to work closely on several issues, in… https://t.co/zss2h8ru9Z",93112,6898,2021-02-02 00:09:52,today i spoke with prime minister justintrudeau we discussed our commitment to work closely on several issues in… httpstcozsshruz,"['today', 'i', 'spoke', 'with', 'prime', 'minister', 'justintrudeau', 'we', 'discussed', 'our', 'commitment', 'to', 'work', 'closely', 'on', 'several', 'issues', 'in…', 'httpstcozsshruz']","['today', 'i', 'spoke', 'with', 'prime', 'minister', 'justintrudeau', 'we', 'discussed', 'our', 'commitment', 'to', 'work', 'closely', 'on', 'several', 'issue', 'in…', 'httpstcozsshruz']"
27,7,1356301475530612737,"As Black History Month begins today, we remember and honor those who have come before, and we work to build a brigh… https://t.co/PxPrvePtIR",98256,11681,2021-02-01 18:00:45,as black history month begins today we remember and honor those who have come before and we work to build a brigh… httpstcopxprveptir,"['as', 'black', 'history', 'month', 'begins', 'today', 'we', 'remember', 'and', 'honor', 'those', 'who', 'have', 'come', 'before', 'and', 'we', 'work', 'to', 'build', 'a', 'brigh…', 'httpstcopxprveptir']","['a', 'black', 'history', 'month', 'begin', 'today', 'we', 'remember', 'and', 'honor', 'those', 'who', 'have', 'come', 'before', 'and', 'we', 'work', 'to', 'build', 'a', 'brigh…', 'httpstcopxprveptir']"
28,8,1355989793004519428,"People are hurting right now. 

The American Rescue Plan gets economic relief to those who need it, and it gets peo… https://t.co/8BkKxGRpwd",93864,10804,2021-01-31 21:22:14,"people are hurting right now 

the american rescue plan gets economic relief to those who need it and it gets peo… httpstcobkkxgrpwd","['people', 'are', 'hurting', 'right', 'now', '', '', 'the', 'american', 'rescue', 'plan', 'gets', 'economic', 'relief', 'to', 'those', 'who', 'need', 'it', 'and', 'it', 'gets', 'peo…', 'httpstcobkkxgrpwd']","['people', 'are', 'hurting', 'right', 'now', '', '', 'the', 'american', 'rescue', 'plan', 'get', 'economic', 'relief', 'to', 'those', 'who', 'need', 'it', 'and', 'it', 'get', 'peo…', 'httpstcobkkxgrpwd']"
29,9,1355893193561284610,"Since January 20th, @POTUS and I have addressed the urgent crises facing our nation – the pandemic, the economic cr… https://t.co/QpABwFku7H",78472,6477,2021-01-31 14:58:23,since january th potus and i have addressed the urgent crises facing our nation – the pandemic the economic cr… httpstcoqpabwfkuh,"['since', 'january', 'th', 'potus', 'and', 'i', 'have', 'addressed', 'the', 'urgent', 'crises', 'facing', 'our', 'nation', '–', 'the', 'pandemic', 'the', 'economic', 'cr…', 'httpstcoqpabwfkuh']","['since', 'january', 'th', 'potus', 'and', 'i', 'have', 'addressed', 'the', 'urgent', 'crisis', 'facing', 'our', 'nation', '–', 'the', 'pandemic', 'the', 'economic', 'cr…', 'httpstcoqpabwfkuh']"
30,10,1355583079017021440,RT @POTUS: $600 is simply not enough when you have to choose between paying your rent and putting food on the table. That’s why my American…,0,23446,2021-01-30 18:26:06,rt potus  is simply not enough when you have to choose between paying your rent and putting food on the table that’s why my american…,"['rt', 'potus', '', 'is', 'simply', 'not', 'enough', 'when', 'you', 'have', 'to', 'choose', 'between', 'paying', 'your', 'rent', 'and', 'putting', 'food', 'on', 'the', 'table', 'that’s', 'why', 'my', 'american…']","['rt', 'potus', '', 'is', 'simply', 'not', 'enough', 'when', 'you', 'have', 'to', 'choose', 'between', 'paying', 'your', 'rent', 'and', 'putting', 'food', 'on', 'the', 'table', 'that’s', 'why', 'my', 'american…']"
31,11,1355577387044495368,RT @WhiteHouse: The Cabinet is coming together. https://t.co/qZlqBOsvfp,0,5854,2021-01-30 18:03:29,rt whitehouse the cabinet is coming together httpstcoqzlqbosvfp,"['rt', 'whitehouse', 'the', 'cabinet', 'is', 'coming', 'together', 'httpstcoqzlqbosvfp']","['rt', 'whitehouse', 'the', 'cabinet', 'is', 'coming', 'together', 'httpstcoqzlqbosvfp']"
32,12,1355559961523269637,"RT @CDCDirector: Please #WearAMask to protect yourself and others from #COVID19. Masks work best when everyone wears one, but they are not…",0,1747,2021-01-30 16:54:14,rt cdcdirector please wearamask to protect yourself and others from covid masks work best when everyone wears one but they are not…,"['rt', 'cdcdirector', 'please', 'wearamask', 'to', 'protect', 'yourself', 'and', 'others', 'from', 'covid', 'masks', 'work', 'best', 'when', 'everyone', 'wears', 'one', 'but', 'they', 'are', 'not…']","['rt', 'cdcdirector', 'please', 'wearamask', 'to', 'protect', 'yourself', 'and', 'others', 'from', 'covid', 'mask', 'work', 'best', 'when', 'everyone', 'wear', 'one', 'but', 'they', 'are', 'not…']"
33,13,1355260885154074624,"Cicely Tyson broke barriers and paved the way for so many. She inspired the world with her art, activism, and altru… https://t.co/VtISacwyVU",77285,6131,2021-01-29 21:05:49,cicely tyson broke barriers and paved the way for so many she inspired the world with her art activism and altru… httpstcovtisacwyvu,"['cicely', 'tyson', 'broke', 'barriers', 'and', 'paved', 'the', 'way', 'for', 'so', 'many', 'she', 'inspired', 'the', 'world', 'with', 'her', 'art', 'activism', 'and', 'altru…', 'httpstcovtisacwyvu']","['cicely', 'tyson', 'broke', 'barrier', 'and', 'paved', 'the', 'way', 'for', 'so', 'many', 'she', 'inspired', 'the', 'world', 'with', 'her', 'art', 'activism', 'and', 'altru…', 'httpstcovtisacwyvu']"
34,14,1355180765986889731,Get vaccinated. Save lives. https://t.co/5ZNXerlmIJ,103646,10766,2021-01-29 15:47:27,get vaccinated save lives httpstcoznxerlmij,"['get', 'vaccinated', 'save', 'lives', 'httpstcoznxerlmij']","['get', 'vaccinated', 'save', 'life', 'httpstcoznxerlmij']"
35,15,1354964468011331585,"RT @SecondGentleman: Well, now it's official. @MerriamWebster just added ""Second Gentleman"" to the dictionary. 

I might be the first, but…",0,16131,2021-01-29 01:27:57,"rt secondgentleman well now its official merriamwebster just added second gentleman to the dictionary 

i might be the first but…","['rt', 'secondgentleman', 'well', 'now', 'its', 'official', 'merriamwebster', 'just', 'added', 'second', 'gentleman', 'to', 'the', 'dictionary', '', '', 'i', 'might', 'be', 'the', 'first', 'but…']","['rt', 'secondgentleman', 'well', 'now', 'it', 'official', 'merriamwebster', 'just', 'added', 'second', 'gentleman', 'to', 'the', 'dictionary', '', '', 'i', 'might', 'be', 'the', 'first', 'but…']"
36,16,1354928391556894720,"Families and businesses need our help, now. That’s why @POTUS and I are calling on Congress to pass the American Re… https://t.co/t2HqfoO8kl",34794,4226,2021-01-28 23:04:36,families and businesses need our help now that’s why potus and i are calling on congress to pass the american re… httpstcothqfookl,"['families', 'and', 'businesses', 'need', 'our', 'help', 'now', 'that’s', 'why', 'potus', 'and', 'i', 'are', 'calling', 'on', 'congress', 'to', 'pass', 'the', 'american', 're…', 'httpstcothqfookl']","['family', 'and', 'business', 'need', 'our', 'help', 'now', 'that’s', 'why', 'potus', 'and', 'i', 'are', 'calling', 'on', 'congress', 'to', 'pas', 'the', 'american', 're…', 'httpstcothqfookl']"
37,17,1354844658850025473,"During this public health crisis, it’s even more important that Americans have meaningful access to quality, afford… https://t.co/dmYeIOsiiF",11521,1579,2021-01-28 17:31:53,during this public health crisis it’s even more important that americans have meaningful access to quality afford… httpstcodmyeiosiif,"['during', 'this', 'public', 'health', 'crisis', 'it’s', 'even', 'more', 'important', 'that', 'americans', 'have', 'meaningful', 'access', 'to', 'quality', 'afford…', 'httpstcodmyeiosiif']","['during', 'this', 'public', 'health', 'crisis', 'it’s', 'even', 'more', 'important', 'that', 'american', 'have', 'meaningful', 'access', 'to', 'quality', 'afford…', 'httpstcodmyeiosiif']"
38,18,1354828951257026563,"Across the country and around the world, people – particularly women – have been denied access to crucial reproduct… https://t.co/9HFb9pNqhU",50273,5693,2021-01-28 16:29:28,across the country and around the world people – particularly women – have been denied access to crucial reproduct… httpstcohfbpnqhu,"['across', 'the', 'country', 'and', 'around', 'the', 'world', 'people', '–', 'particularly', 'women', '–', 'have', 'been', 'denied', 'access', 'to', 'crucial', 'reproduct…', 'httpstcohfbpnqhu']","['across', 'the', 'country', 'and', 'around', 'the', 'world', 'people', '–', 'particularly', 'woman', '–', 'have', 'been', 'denied', 'access', 'to', 'crucial', 'reproduct…', 'httpstcohfbpnqhu']"
39,19,1354828231153758210,RT @POTUS: One week down. https://t.co/yxrkWAXlkL,0,11481,2021-01-28 16:26:36,rt potus one week down httpstcoyxrkwaxlkl,"['rt', 'potus', 'one', 'week', 'down', 'httpstcoyxrkwaxlkl']","['rt', 'potus', 'one', 'week', 'down', 'httpstcoyxrkwaxlkl']"
40,3,1359238514248925186,"Congratulations to @DenisMcDonough, our new Secretary of Veterans Affairs. Secretary McDonough is a committed publi… https://t.co/pO82hxv1fl",22807,2248,2021-02-09 20:31:29,congratulations to denismcdonough our new secretary of veterans affairs secretary mcdonough is a committed publi… httpstcopohxvfl,"['congratulations', 'to', 'denismcdonough', 'our', 'new', 'secretary', 'of', 'veterans', 'affairs', 'secretary', 'mcdonough', 'is', 'a', 'committed', 'publi…', 'httpstcopohxvfl']","['congratulation', 'to', 'denismcdonough', 'our', 'new', 'secretary', 'of', 'veteran', 'affair', 'secretary', 'mcdonough', 'is', 'a', 'committed', 'publi…', 'httpstcopohxvfl']"
