,Unnamed: 0,ID,text,favoriteCount,retweetCount,createdAt,tweetPunct,tweetToken,tweetLemmas
41,4,1359196433262460929,"RT @SecDef: It’s difficult to think about #BlackHistoryMonth without thinking about Jackie Robinson. Beyond his contributions to baseball,…",0,1064,2021-02-09 17:44:16,rt secdef it’s difficult to think about blackhistorymonth without thinking about jackie robinson beyond his contributions to baseball…,"['rt', 'secdef', 'it’s', 'difficult', 'to', 'think', 'about', 'blackhistorymonth', 'without', 'thinking', 'about', 'jackie', 'robinson', 'beyond', 'his', 'contributions', 'to', 'baseball…']","['rt', 'secdef', 'it’s', 'difficult', 'to', 'think', 'about', 'blackhistorymonth', 'without', 'thinking', 'about', 'jackie', 'robinson', 'beyond', 'his', 'contribution', 'to', 'baseball…']"
42,5,1359171049137598466,"We can contain the pandemic, help our small businesses, and get Americans back to work. 

But Congress needs to act… https://t.co/VDmU2YZd7D",52136,4949,2021-02-09 16:03:24,"we can contain the pandemic help our small businesses and get americans back to work 

but congress needs to act… httpstcovdmuyzdd","['we', 'can', 'contain', 'the', 'pandemic', 'help', 'our', 'small', 'businesses', 'and', 'get', 'americans', 'back', 'to', 'work', '', '', 'but', 'congress', 'needs', 'to', 'act…', 'httpstcovdmuyzdd']","['we', 'can', 'contain', 'the', 'pandemic', 'help', 'our', 'small', 'business', 'and', 'get', 'american', 'back', 'to', 'work', '', '', 'but', 'congress', 'need', 'to', 'act…', 'httpstcovdmuyzdd']"
43,6,1358971128455258114,Doug and I send our condolences and prayers to Susan and the Wright family on the passing of Congressman Ron Wright… https://t.co/khn8DiNoRL,45741,3096,2021-02-09 02:49:00,doug and i send our condolences and prayers to susan and the wright family on the passing of congressman ron wright… httpstcokhndinorl,"['doug', 'and', 'i', 'send', 'our', 'condolences', 'and', 'prayers', 'to', 'susan', 'and', 'the', 'wright', 'family', 'on', 'the', 'passing', 'of', 'congressman', 'ron', 'wright…', 'httpstcokhndinorl']","['doug', 'and', 'i', 'send', 'our', 'condolence', 'and', 'prayer', 'to', 'susan', 'and', 'the', 'wright', 'family', 'on', 'the', 'passing', 'of', 'congressman', 'ron', 'wright…', 'httpstcokhndinorl']"
44,7,1358896470984970242,"Today @POTUS and I did a virtual tour of the State Farm Stadium in Arizona, where thousands are getting vaccinated… https://t.co/RuWvjrR5hD",32275,3051,2021-02-08 21:52:20,today potus and i did a virtual tour of the state farm stadium in arizona where thousands are getting vaccinated… httpstcoruwvjrrhd,"['today', 'potus', 'and', 'i', 'did', 'a', 'virtual', 'tour', 'of', 'the', 'state', 'farm', 'stadium', 'in', 'arizona', 'where', 'thousands', 'are', 'getting', 'vaccinated…', 'httpstcoruwvjrrhd']","['today', 'potus', 'and', 'i', 'did', 'a', 'virtual', 'tour', 'of', 'the', 'state', 'farm', 'stadium', 'in', 'arizona', 'where', 'thousand', 'are', 'getting', 'vaccinated…', 'httpstcoruwvjrrhd']"
45,8,1358863217255190531,"RT @WhiteHouse: Tune in as President Biden and Vice President Harris virtually tour a vaccination site in Glendale, Arizona. https://t.co/Q…",0,1245,2021-02-08 19:40:12,rt whitehouse tune in as president biden and vice president harris virtually tour a vaccination site in glendale arizona httpstcoq…,"['rt', 'whitehouse', 'tune', 'in', 'as', 'president', 'biden', 'and', 'vice', 'president', 'harris', 'virtually', 'tour', 'a', 'vaccination', 'site', 'in', 'glendale', 'arizona', 'httpstcoq…']","['rt', 'whitehouse', 'tune', 'in', 'a', 'president', 'biden', 'and', 'vice', 'president', 'harris', 'virtually', 'tour', 'a', 'vaccination', 'site', 'in', 'glendale', 'arizona', 'httpstcoq…']"
46,9,1358840051938058244,RT @POTUS: Making vaccines free and accessible for every American — that’s the American Rescue Plan. https://t.co/5GpH0VYWIE,0,12157,2021-02-08 18:08:09,rt potus making vaccines free and accessible for every american — that’s the american rescue plan httpstcogphvywie,"['rt', 'potus', 'making', 'vaccines', 'free', 'and', 'accessible', 'for', 'every', 'american', '—', 'that’s', 'the', 'american', 'rescue', 'plan', 'httpstcogphvywie']","['rt', 'potus', 'making', 'vaccine', 'free', 'and', 'accessible', 'for', 'every', 'american', '—', 'that’s', 'the', 'american', 'rescue', 'plan', 'httpstcogphvywie']"
47,10,1358830674531262467,The American Rescue Plan will get the pandemic under control and support struggling communities across our country.… https://t.co/o1Mkn0A6I3,41902,4683,2021-02-08 17:30:53,the american rescue plan will get the pandemic under control and support struggling communities across our country… httpstcoomknai,"['the', 'american', 'rescue', 'plan', 'will', 'get', 'the', 'pandemic', 'under', 'control', 'and', 'support', 'struggling', 'communities', 'across', 'our', 'country…', 'httpstcoomknai']","['the', 'american', 'rescue', 'plan', 'will', 'get', 'the', 'pandemic', 'under', 'control', 'and', 'support', 'struggling', 'community', 'across', 'our', 'country…', 'httpstcoomknai']"
48,11,1358615865781063681,Congratulations to the Tampa Bay @Buccaneers on winning #SuperBowlLV,44689,2849,2021-02-08 03:17:18,congratulations to the tampa bay buccaneers on winning superbowllv,"['congratulations', 'to', 'the', 'tampa', 'bay', 'buccaneers', 'on', 'winning', 'superbowllv']","['congratulation', 'to', 'the', 'tampa', 'bay', 'buccaneer', 'on', 'winning', 'superbowllv']"
49,12,1358498822255747075,"RT @WhiteHouse: ICYMI: This week, a bipartisan group of over 400 Mayors called on Congress to pass President Biden’s American Rescue Plan.…",0,2347,2021-02-07 19:32:13,rt whitehouse icymi this week a bipartisan group of over  mayors called on congress to pass president biden’s american rescue plan…,"['rt', 'whitehouse', 'icymi', 'this', 'week', 'a', 'bipartisan', 'group', 'of', 'over', '', 'mayors', 'called', 'on', 'congress', 'to', 'pass', 'president', 'biden’s', 'american', 'rescue', 'plan…']","['rt', 'whitehouse', 'icymi', 'this', 'week', 'a', 'bipartisan', 'group', 'of', 'over', '', 'mayor', 'called', 'on', 'congress', 'to', 'pas', 'president', 'biden’s', 'american', 'rescue', 'plan…']"
50,13,1358213453299781632,"We can get through this crisis. We can save lives. We can help people.
 
But Congress needs to act – and pass the American Rescue Plan.",57131,6048,2021-02-07 00:38:16,"we can get through this crisis we can save lives we can help people
 
but congress needs to act – and pass the american rescue plan","['we', 'can', 'get', 'through', 'this', 'crisis', 'we', 'can', 'save', 'lives', 'we', 'can', 'help', 'people', '', '', 'but', 'congress', 'needs', 'to', 'act', '–', 'and', 'pass', 'the', 'american', 'rescue', 'plan']","['we', 'can', 'get', 'through', 'this', 'crisis', 'we', 'can', 'save', 'life', 'we', 'can', 'help', 'people', '', '', 'but', 'congress', 'need', 'to', 'act', '–', 'and', 'pas', 'the', 'american', 'rescue', 'plan']"
51,14,1358162105468354562,It’s been a busy few weeks. Ready for the next one. https://t.co/bMouYVjRr0,164675,8827,2021-02-06 21:14:14,it’s been a busy few weeks ready for the next one httpstcobmouyvjrr,"['it’s', 'been', 'a', 'busy', 'few', 'weeks', 'ready', 'for', 'the', 'next', 'one', 'httpstcobmouyvjrr']","['it’s', 'been', 'a', 'busy', 'few', 'week', 'ready', 'for', 'the', 'next', 'one', 'httpstcobmouyvjrr']"
52,15,1357861821064036354,"From software to healthcare, restaurants to manufacturers, Black businesses are small, large, and everything in bet… https://t.co/OpCX9HPxFS",28966,3077,2021-02-06 01:21:00,from software to healthcare restaurants to manufacturers black businesses are small large and everything in bet… httpstcoopcxhpxfs,"['from', 'software', 'to', 'healthcare', 'restaurants', 'to', 'manufacturers', 'black', 'businesses', 'are', 'small', 'large', 'and', 'everything', 'in', 'bet…', 'httpstcoopcxhpxfs']","['from', 'software', 'to', 'healthcare', 'restaurant', 'to', 'manufacturer', 'black', 'business', 'are', 'small', 'large', 'and', 'everything', 'in', 'bet…', 'httpstcoopcxhpxfs']"
53,16,1357771176391548928,Black businesses have been hit hard in the pandemic. Today at 3pm Secretary @JanetYellen and I are joining local Bl… https://t.co/kP80w4Pr7M,9345,1236,2021-02-05 19:20:49,black businesses have been hit hard in the pandemic today at pm secretary janetyellen and i are joining local bl… httpstcokpwprm,"['black', 'businesses', 'have', 'been', 'hit', 'hard', 'in', 'the', 'pandemic', 'today', 'at', 'pm', 'secretary', 'janetyellen', 'and', 'i', 'are', 'joining', 'local', 'bl…', 'httpstcokpwprm']","['black', 'business', 'have', 'been', 'hit', 'hard', 'in', 'the', 'pandemic', 'today', 'at', 'pm', 'secretary', 'janetyellen', 'and', 'i', 'are', 'joining', 'local', 'bl…', 'httpstcokpwprm']"
54,17,1357675898548453379,RT @WhiteHouse: Wondering about Dr. Fauci’s morning routine or how we can vaccinate 100 million people in 100 days? Watch to find out: http…,0,3154,2021-02-05 13:02:13,rt whitehouse wondering about dr fauci’s morning routine or how we can vaccinate  million people in  days watch to find out http…,"['rt', 'whitehouse', 'wondering', 'about', 'dr', 'fauci’s', 'morning', 'routine', 'or', 'how', 'we', 'can', 'vaccinate', '', 'million', 'people', 'in', '', 'days', 'watch', 'to', 'find', 'out', 'http…']","['rt', 'whitehouse', 'wondering', 'about', 'dr', 'fauci’s', 'morning', 'routine', 'or', 'how', 'we', 'can', 'vaccinate', '', 'million', 'people', 'in', '', 'day', 'watch', 'to', 'find', 'out', 'http…']"
55,18,1357502842769145860,My mother was a cancer scientist. It was a shock when she herself was diagnosed with cancer. She passed away a year… https://t.co/Nh2siRs78I,147650,11039,2021-02-05 01:34:33,my mother was a cancer scientist it was a shock when she herself was diagnosed with cancer she passed away a year… httpstconhsirsi,"['my', 'mother', 'was', 'a', 'cancer', 'scientist', 'it', 'was', 'a', 'shock', 'when', 'she', 'herself', 'was', 'diagnosed', 'with', 'cancer', 'she', 'passed', 'away', 'a', 'year…', 'httpstconhsirsi']","['my', 'mother', 'wa', 'a', 'cancer', 'scientist', 'it', 'wa', 'a', 'shock', 'when', 'she', 'herself', 'wa', 'diagnosed', 'with', 'cancer', 'she', 'passed', 'away', 'a', 'year…', 'httpstconhsirsi']"
56,19,1357450252010336262,Today I thanked the dedicated staff at @StateDept for their service and sacrifice. They have remained committed to… https://t.co/dBojCy4NJD,20535,2019,2021-02-04 22:05:34,today i thanked the dedicated staff at statedept for their service and sacrifice they have remained committed to… httpstcodbojcynjd,"['today', 'i', 'thanked', 'the', 'dedicated', 'staff', 'at', 'statedept', 'for', 'their', 'service', 'and', 'sacrifice', 'they', 'have', 'remained', 'committed', 'to…', 'httpstcodbojcynjd']","['today', 'i', 'thanked', 'the', 'dedicated', 'staff', 'at', 'statedept', 'for', 'their', 'service', 'and', 'sacrifice', 'they', 'have', 'remained', 'committed', 'to…', 'httpstcodbojcynjd']"
57,0,1361445125549883398,"Today I spoke with President @EmmanuelMacron of France. We discussed COVID-19, climate change, supporting democracy… https://t.co/Frmayspiv2",70427,6020,2021-02-15 22:39:47,today i spoke with president emmanuelmacron of france we discussed covid climate change supporting democracy… httpstcofrmayspiv,"['today', 'i', 'spoke', 'with', 'president', 'emmanuelmacron', 'of', 'france', 'we', 'discussed', 'covid', 'climate', 'change', 'supporting', 'democracy…', 'httpstcofrmayspiv']","['today', 'i', 'spoke', 'with', 'president', 'emmanuelmacron', 'of', 'france', 'we', 'discussed', 'covid', 'climate', 'change', 'supporting', 'democracy…', 'httpstcofrmayspiv']"
58,1,1361440971536429059,"RT @POTUS: Health care is a right — and I will do everything in my power to ensure that all Americans have access to quality, affordable ca…",0,10388,2021-02-15 22:23:16,rt potus health care is a right — and i will do everything in my power to ensure that all americans have access to quality affordable ca…,"['rt', 'potus', 'health', 'care', 'is', 'a', 'right', '—', 'and', 'i', 'will', 'do', 'everything', 'in', 'my', 'power', 'to', 'ensure', 'that', 'all', 'americans', 'have', 'access', 'to', 'quality', 'affordable', 'ca…']","['rt', 'potus', 'health', 'care', 'is', 'a', 'right', '—', 'and', 'i', 'will', 'do', 'everything', 'in', 'my', 'power', 'to', 'ensure', 'that', 'all', 'american', 'have', 'access', 'to', 'quality', 'affordable', 'ca…']"
59,2,1361372791178674176,The American Rescue Plan will make vaccines free and accessible for everyone. We can't afford to wait. Congress nee… https://t.co/Mf98gev7hO,28178,3680,2021-02-15 17:52:21,the american rescue plan will make vaccines free and accessible for everyone we cant afford to wait congress nee… httpstcomfgevho,"['the', 'american', 'rescue', 'plan', 'will', 'make', 'vaccines', 'free', 'and', 'accessible', 'for', 'everyone', 'we', 'cant', 'afford', 'to', 'wait', 'congress', 'nee…', 'httpstcomfgevho']","['the', 'american', 'rescue', 'plan', 'will', 'make', 'vaccine', 'free', 'and', 'accessible', 'for', 'everyone', 'we', 'cant', 'afford', 'to', 'wait', 'congress', 'nee…', 'httpstcomfgevho']"
60,3,1361120302563012609,"Our thoughts are with the Parkland community, three years to the day after we lost seventeen innocent lives at Marj… https://t.co/bMe2jYbiS2",27026,3122,2021-02-15 01:09:03,our thoughts are with the parkland community three years to the day after we lost seventeen innocent lives at marj… httpstcobmejybis,"['our', 'thoughts', 'are', 'with', 'the', 'parkland', 'community', 'three', 'years', 'to', 'the', 'day', 'after', 'we', 'lost', 'seventeen', 'innocent', 'lives', 'at', 'marj…', 'httpstcobmejybis']","['our', 'thought', 'are', 'with', 'the', 'parkland', 'community', 'three', 'year', 'to', 'the', 'day', 'after', 'we', 'lost', 'seventeen', 'innocent', 'life', 'at', 'marj…', 'httpstcobmejybis']"
61,4,1361090840391745543,"RT @SecondGentleman: Happy Valentine’s Day, honey. We’ve got big adventures ahead. I couldn’t be more excited to be your partner on this jo…",0,5503,2021-02-14 23:11:58,rt secondgentleman happy valentine’s day honey we’ve got big adventures ahead i couldn’t be more excited to be your partner on this jo…,"['rt', 'secondgentleman', 'happy', 'valentine’s', 'day', 'honey', 'we’ve', 'got', 'big', 'adventures', 'ahead', 'i', 'couldn’t', 'be', 'more', 'excited', 'to', 'be', 'your', 'partner', 'on', 'this', 'jo…']","['rt', 'secondgentleman', 'happy', 'valentine’s', 'day', 'honey', 'we’ve', 'got', 'big', 'adventure', 'ahead', 'i', 'couldn’t', 'be', 'more', 'excited', 'to', 'be', 'your', 'partner', 'on', 'this', 'jo…']"
62,5,1361024539405086720,"During a @POTUS visit to my office (his old office), he showed me where - on Valentine’s Day in 2009 - @FLOTUS wrot… https://t.co/d7uhQI7YCJ",87380,6441,2021-02-14 18:48:31,during a potus visit to my office his old office he showed me where  on valentine’s day in   flotus wrot… httpstcoduhqiycj,"['during', 'a', 'potus', 'visit', 'to', 'my', 'office', 'his', 'old', 'office', 'he', 'showed', 'me', 'where', '', 'on', 'valentine’s', 'day', 'in', '', '', 'flotus', 'wrot…', 'httpstcoduhqiycj']","['during', 'a', 'potus', 'visit', 'to', 'my', 'office', 'his', 'old', 'office', 'he', 'showed', 'me', 'where', '', 'on', 'valentine’s', 'day', 'in', '', '', 'flotus', 'wrot…', 'httpstcoduhqiycj']"
63,6,1360741263226638340,Wear a mask. Save lives. https://t.co/eWkXTUCyhi,96847,7879,2021-02-14 00:02:53,wear a mask save lives httpstcoewkxtucyhi,"['wear', 'a', 'mask', 'save', 'lives', 'httpstcoewkxtucyhi']","['wear', 'a', 'mask', 'save', 'life', 'httpstcoewkxtucyhi']"
64,7,1360728777848999937,"RT @SecondGentleman: This Valentine’s Day weekend, our hearts are with the health care heroes working around-the-clock to support our count…",0,1759,2021-02-13 23:13:16,rt secondgentleman this valentine’s day weekend our hearts are with the health care heroes working aroundtheclock to support our count…,"['rt', 'secondgentleman', 'this', 'valentine’s', 'day', 'weekend', 'our', 'hearts', 'are', 'with', 'the', 'health', 'care', 'heroes', 'working', 'aroundtheclock', 'to', 'support', 'our', 'count…']","['rt', 'secondgentleman', 'this', 'valentine’s', 'day', 'weekend', 'our', 'heart', 'are', 'with', 'the', 'health', 'care', 'hero', 'working', 'aroundtheclock', 'to', 'support', 'our', 'count…']"
65,8,1360719396017213442,We can open most K-8 schools by the end of our first 100 days. @CDCgov provided the best available scientific evide… https://t.co/17C1w6TFfB,8171,1039,2021-02-13 22:35:59,we can open most k schools by the end of our first  days cdcgov provided the best available scientific evide… httpstcocwtffb,"['we', 'can', 'open', 'most', 'k', 'schools', 'by', 'the', 'end', 'of', 'our', 'first', '', 'days', 'cdcgov', 'provided', 'the', 'best', 'available', 'scientific', 'evide…', 'httpstcocwtffb']","['we', 'can', 'open', 'most', 'k', 'school', 'by', 'the', 'end', 'of', 'our', 'first', '', 'day', 'cdcgov', 'provided', 'the', 'best', 'available', 'scientific', 'evide…', 'httpstcocwtffb']"
66,9,1360608347897135112,Millions of women have lost their jobs or dropped out of the workforce during the pandemic. I wrote about how this… https://t.co/CrX3HaA50G,17040,2781,2021-02-13 15:14:43,millions of women have lost their jobs or dropped out of the workforce during the pandemic i wrote about how this… httpstcocrxhaag,"['millions', 'of', 'women', 'have', 'lost', 'their', 'jobs', 'or', 'dropped', 'out', 'of', 'the', 'workforce', 'during', 'the', 'pandemic', 'i', 'wrote', 'about', 'how', 'this…', 'httpstcocrxhaag']","['million', 'of', 'woman', 'have', 'lost', 'their', 'job', 'or', 'dropped', 'out', 'of', 'the', 'workforce', 'during', 'the', 'pandemic', 'i', 'wrote', 'about', 'how', 'this…', 'httpstcocrxhaag']"
67,10,1360582231664787461,"RT @POTUS: Earlier this week, Vice President Harris and I took a virtual tour of a vaccination site in Arizona. Because of the hard work of…",0,2799,2021-02-13 13:30:57,rt potus earlier this week vice president harris and i took a virtual tour of a vaccination site in arizona because of the hard work of…,"['rt', 'potus', 'earlier', 'this', 'week', 'vice', 'president', 'harris', 'and', 'i', 'took', 'a', 'virtual', 'tour', 'of', 'a', 'vaccination', 'site', 'in', 'arizona', 'because', 'of', 'the', 'hard', 'work', 'of…']","['rt', 'potus', 'earlier', 'this', 'week', 'vice', 'president', 'harris', 'and', 'i', 'took', 'a', 'virtual', 'tour', 'of', 'a', 'vaccination', 'site', 'in', 'arizona', 'because', 'of', 'the', 'hard', 'work', 'of…']"
68,11,1360420979479085056,"Happy #LunarNewYear! As we welcome the Year of the Ox during a challenging time, I wish everyone happiness, health,… https://t.co/0sAcMzz7JJ",41393,3859,2021-02-13 02:50:11,happy lunarnewyear as we welcome the year of the ox during a challenging time i wish everyone happiness health… httpstcosacmzzjj,"['happy', 'lunarnewyear', 'as', 'we', 'welcome', 'the', 'year', 'of', 'the', 'ox', 'during', 'a', 'challenging', 'time', 'i', 'wish', 'everyone', 'happiness', 'health…', 'httpstcosacmzzjj']","['happy', 'lunarnewyear', 'a', 'we', 'welcome', 'the', 'year', 'of', 'the', 'ox', 'during', 'a', 'challenging', 'time', 'i', 'wish', 'everyone', 'happiness', 'health…', 'httpstcosacmzzjj']"
69,12,1360311331434430467,Hate crimes and violence against Asian Americans and Asian immigrants have skyrocketed during the pandemic. That’s… https://t.co/Z8CRGdfJ6y,65179,8940,2021-02-12 19:34:29,hate crimes and violence against asian americans and asian immigrants have skyrocketed during the pandemic that’s… httpstcozcrgdfjy,"['hate', 'crimes', 'and', 'violence', 'against', 'asian', 'americans', 'and', 'asian', 'immigrants', 'have', 'skyrocketed', 'during', 'the', 'pandemic', 'that’s…', 'httpstcozcrgdfjy']","['hate', 'crime', 'and', 'violence', 'against', 'asian', 'american', 'and', 'asian', 'immigrant', 'have', 'skyrocketed', 'during', 'the', 'pandemic', 'that’s…', 'httpstcozcrgdfjy']"
70,13,1360286682755584008,"RT @SecondGentleman: Thank you, @FLOTUS, for spreading the love.",0,5423,2021-02-12 17:56:32,rt secondgentleman thank you flotus for spreading the love,"['rt', 'secondgentleman', 'thank', 'you', 'flotus', 'for', 'spreading', 'the', 'love']","['rt', 'secondgentleman', 'thank', 'you', 'flotus', 'for', 'spreading', 'the', 'love']"
71,14,1360227577793757184,RT @DeptofDefense: .@VP: You are the best and the bravest fighting force in the world. https://t.co/ykhwFEJ0rz,0,1533,2021-02-12 14:01:41,rt deptofdefense vp you are the best and the bravest fighting force in the world httpstcoykhwfejrz,"['rt', 'deptofdefense', 'vp', 'you', 'are', 'the', 'best', 'and', 'the', 'bravest', 'fighting', 'force', 'in', 'the', 'world', 'httpstcoykhwfejrz']","['rt', 'deptofdefense', 'vp', 'you', 'are', 'the', 'best', 'and', 'the', 'bravest', 'fighting', 'force', 'in', 'the', 'world', 'httpstcoykhwfejrz']"
72,15,1359974013607501828,"RT @ginamccarthy46: Today, I had the great honor to chair the first ever National Climate Task Force. @POTUS, @VP, and I agree - tackling t…",0,1251,2021-02-11 21:14:06,rt ginamccarthy today i had the great honor to chair the first ever national climate task force potus vp and i agree  tackling t…,"['rt', 'ginamccarthy', 'today', 'i', 'had', 'the', 'great', 'honor', 'to', 'chair', 'the', 'first', 'ever', 'national', 'climate', 'task', 'force', 'potus', 'vp', 'and', 'i', 'agree', '', 'tackling', 't…']","['rt', 'ginamccarthy', 'today', 'i', 'had', 'the', 'great', 'honor', 'to', 'chair', 'the', 'first', 'ever', 'national', 'climate', 'task', 'force', 'potus', 'vp', 'and', 'i', 'agree', '', 'tackling', 't…']"
73,16,1359905795815706624,"To all our servicemembers:
 
@POTUS and I will always honor your service and sacrifice. We will always support you.… https://t.co/95OMwqJ8du",42584,3996,2021-02-11 16:43:02,"to all our servicemembers
 
potus and i will always honor your service and sacrifice we will always support you… httpstcoomwqjdu","['to', 'all', 'our', 'servicemembers', '', '', 'potus', 'and', 'i', 'will', 'always', 'honor', 'your', 'service', 'and', 'sacrifice', 'we', 'will', 'always', 'support', 'you…', 'httpstcoomwqjdu']","['to', 'all', 'our', 'servicemembers', '', '', 'potus', 'and', 'i', 'will', 'always', 'honor', 'your', 'service', 'and', 'sacrifice', 'we', 'will', 'always', 'support', 'you…', 'httpstcoomwqjdu']"
